Sample,Temperature,Complexity,Treatment,Protein.Carbonyl,Protein.Raw,Tower,Placement,Neighbors,Weight,Length.standard,conc,sample
C_HC_01,C,HC,C-HC,12.5,10,1,bottom,1,9,5,0.2981,C_HC_01
C_HC_02,C,HC,C-HC,12.06,9.41,1,bottom,1,7.5,4.8,0.4375,C_HC_02
C_HC_03,C,HC,C-HC,8.817,10.52,1,bottom,0,5.4,4.5,0.2810,C_HC_03
C_HC_04,C,HC,C-HC,9.371,12.34,3,top,1,12.9,5.5,0.5729,C_HC_04
C_HC_05,C,HC,C-HC,9.736,10.7,3,top,2,10.6,5.2,0.4237,C_HC_05
C_HC_06,C,HC,C-HC,10.9,14.73,3,top,2,9.9,5.1,0.2602,C_HC_06
C_HC_07,C,HC,C-HC,12.4,12.72,3,top,1,11,5.4,0.1114,C_HC_07
C_HC_08,C,HC,C-HC,10.16,11.8,5,bottom,1,12.4,5.5,0.3735,C_HC_08
C_HC_09,C,HC,C-HC,9.116,10.9,5,bottom,2,15.4,6,0.2833,C_HC_09
C_HC_10,C,HC,C-HC,7.368,11.56,5,bottom,1,10.9,5.5,0.6510,C_HC_10
C_LC_01,C,LC,C-LC,8.459,12.44,1,top,1,11.9,6,0.3886,C_LC_01
C_LC_02,C,LC,C-LC,,,1,top,2,13.1,6,0.3479,C_LC_02
C_LC_03,C,LC,C-LC,10.8,10.43,1,top,2,10.1,5,0.2761,C_LC_03
C_LC_04,C,LC,C-LC,9.032,9.449,1,top,1,11.26,5.5,0.4830,C_LC_04
C_LC_05,C,LC,C-LC,11.37,10.45,3,bottom,1,16.7,6.2,0.4749,C_LC_05
C_LC_06,C,LC,C-LC,11.28,10.81,3,bottom,2,10,5.2,0.4533,C_LC_06
C_LC_07,C,LC,C-LC,11.18,11.32,3,bottom,1,13.6,5.8,0.2735,C_LC_07
C_LC_08,C,LC,C-LC,10.49,13.92,5,top,1,11.2,5.5,0.2620,C_LC_08
C_LC_09,C,LC,C-LC,7.475,8.993,5,top,1,12.9,5.5,0.1037,C_LC_09
C_LC_10,C,LC,C-LC,,,5,top,0,9.3,5,0.5455,C_LC_10
HW_HC_01,HW,HC,HW-HC,8.998,8.172,2,bottom,1,12.1,6,0.7988,HW_HC_01
HW_HC_02,HW,HC,HW-HC,8.801,11.97,2,bottom,2,13.8,6.1,0.3462,HW_HC_02
HW_HC_03,HW,HC,HW-HC,9.615,7.747,2,bottom,1,11.6,5.5,0.4149,HW_HC_03
HW_HC_04,HW,HC,HW-HC,10.38,9.537,4,bottom,0,8.4,5,0.3860,HW_HC_04
HW_HC_05,HW,HC,HW-HC,,,4,bottom,1,11.4,5.1,0.4242,HW_HC_05
HW_HC_06,HW,HC,HW-HC,11.88,14.17,4,bottom,1,7.3,4.5,0.8750,HW_HC_06
HW_HC_08,HW,HC,HW-HC,9.578,9.164,6,top,2,12,5.4,0.7665,HW_HC_08
HW_HC_09,HW,HC,HW-HC,9.956,10.05,6,top,2,11.6,5.5,1.0360,HW_HC_09
HW_HC_10,HW,HC,HW-HC,10.68,9.667,6,top,1,10.3,5.2,0.7541,HW_HC_10
HW_LC_01,HW,LC,HW-LC,,,2,top,1,8.3,5,0.5417,HW_LC_01
HW_LC_02,HW,LC,HW-LC,6.869,11.53,2,top,2,2.8,3.25,0.5691,HW_LC_02
HW_LC_03,HW,LC,HW-LC,9.065,11.2,2,top,2,11.8,5.5,0.6019,HW_LC_03
HW_LC_04,HW,LC,HW-LC,9.578,11.35,2,top,1,11.6,5.5,0.2179,HW_LC_04
HW_LC_05,HW,LC,HW-LC,8.3,9.136,4,top,1,8.5,4.9,0.2321,HW_LC_05
HW_LC_06,HW,LC,HW-LC,9.099,9.004,4,top,1,10.2,5.4,0.3272,HW_LC_06
HW_LC_07,HW,LC,HW-LC,8.998,9.365,4,top,0,11,5.3,0.2867,HW_LC_07
HW_LC_08,HW,LC,HW-LC,10.56,14.43,6,bottom,1,9.1,5.1,0.6295,HW_LC_08
HW_LC_09,HW,LC,HW-LC,10.63,10.74,6,bottom,2,10.9,5.8,0.3852,HW_LC_09
HW_LC_10,HW,LC,HW-LC,9.754,10.88,6,bottom,1,14,6,0.6698,HW_LC_10
